DONOSTIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
12 Abri.;;0;0;0;0;2;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;3;0;;2;0;10;1;0;5;0;1;1;;0;0;;0;0;1;26;0;;
13 Abri.;;0;0;0;0;2;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;4;0;;4;0;11;2;0;7;0;0;0;;0;0;;0;0;1;32;1;;
14 Abri.;;0;0;0;0;4;;2;0;;0;;0;0;3;;0;;0;0;1;;0;;;0;0;0;;7;2;;17;2;25;3;0;208;0;3;0;;0;0;;1;0;2;280;0;;
15 Abri.;;0;0;0;0;54;;1;0;;0;;0;0;5;;0;;0;1;5;;1;;;0;0;0;;16;0;;20;2;64;17;0;225;0;7;1;;0;0;;0;0;8;427;1;;
16 Abri.;;0;0;0;0;41;;0;0;;0;;0;0;5;;0;;0;0;0;;1;;;0;0;0;;7;1;;8;6;22;5;0;54;0;7;1;;0;0;;0;0;6;164;0;;
17 Abri.;;0;0;0;0;5;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;4;0;;1;0;3;3;0;9;0;1;0;;0;0;;0;0;4;30;0;;
18 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;1;0;;2;0;;1;1;5;2;0;2;0;0;0;;0;0;;0;0;1;16;0;;
19 Abri.;;0;0;0;0;8;;1;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;2;1;;2;0;4;3;0;5;0;1;0;;0;0;;0;1;1;30;0;;
20 Abri.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;1;0;0;1;0;1;0;;0;0;;0;0;0;4;0;;
21 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;2;0;0;2;0;0;0;;0;0;;0;0;1;9;0;;
